# Roblox functions our build compiles under the original's own decorated name.
address,type,symbol
0x1000d340,synthetic,??_GStandardOutLog@@UAEPAXI@Z
0x100061a0,synthetic,??_H@YGXPAXIHP6EPAX0@Z@Z
0x100068f0,library,?onAddListener@?$Notifier@VInstance@RBX@@VPropertyChanged@2@@RBX@@MBEXPAV?$Listener@VInstance@RBX@@VPropertyChanged@2@@2@@Z
0x100068f0,library,?onRemoveListener@?$Notifier@VInstance@RBX@@VPropertyChanged@2@@RBX@@MBEXPAV?$Listener@VInstance@RBX@@VPropertyChanged@2@@2@@Z
0x1000cfd0,library,??1Job@CWebService@Roblox@@QAE@XZ
0x1000d340,library,??_EStandardOutLog@@UAEPAXI@Z
0x1000d340,library,??_GStandardOutLog@@UAEPAXI@Z
0x1000d370,library,??1StandardOutMessage@RBX@@QAE@XZ
0x1000db70,synthetic,_GetAtlHandlerByName@12
0x1000dc00,synthetic,_InitializeAtlHandlers@8
0x1000dc80,synthetic,_UninitializeAtlHandlers@0
0x1000e150,synthetic,??_ECDllMainOverride@@UAEPAXI@Z
0x1000e150,synthetic,??_GCDllMainOverride@@UAEPAXI@Z
0x10011110,library,??3@YAXPAX0@Z
0x10017460,library,??_ECWebService@Roblox@@UAEPAXI@Z
0x10017460,library,??_GCWebService@Roblox@@UAEPAXI@Z
0x100210d0,synthetic,??_ECWebService@Roblox@@WBCM@AEPAXI@Z
0x100211d0,synthetic,??_ECWebService@Roblox@@W3AEPAXI@Z
0x10024110,synthetic,?AtlSoapGetArrayDims@@YAIPBH@Z
0x10024140,synthetic,?AtlSoapGetElementSize@@YAIW4SOAPTYPES@@@Z
0x100241c0,library,?AtlSoapCleanupElement@@YAJPAXW4SOAPTYPES@@PAUIAtlMemMgr@ATL@@@Z
0x10026240,library,?AtlSoapGetElementValue@@YAJPB_WHPAXW4SOAPTYPES@@PAUIAtlMemMgr@ATL@@@Z
0x100263f0,synthetic,??$AtlGetSAXValue@_N@@YAJPA_NPB_WH@Z
0x100264e0,synthetic,??$AtlGetSAXValue@M@@YAJPAMPB_WH@Z
0x10026520,library,??$AtlGetSAXValue@N@@YAJPANPB_WH@Z
0x10026960,synthetic,?AtlGetSAXBlobValue@@YAJPAU_tagATLSOAP_BLOB@@PB_WHPAUIAtlMemMgr@ATL@@_N@Z
0x10026c80,library,??$AtlGetSAXValue@_J@@YAJPA_JPB_WH@Z
0x10026e90,synthetic,??$AtlGetSAXValue@H@@YAJPAHPB_WH@Z
0x10026ef0,synthetic,??$AtlGetSAXValue@F@@YAJPAFPB_WH@Z
0x10026f50,synthetic,??$AtlGetSAXValue@D@@YAJPADPB_WH@Z
0x10026fb0,library,??$AtlGetSAXValue@_K@@YAJPA_KPB_WH@Z
0x100271c0,synthetic,??$AtlGetSAXValue@I@@YAJPAIPB_WH@Z
0x10027210,synthetic,??$AtlGetSAXValue@G@@YAJPAGPB_WH@Z
0x10027260,synthetic,??$AtlGetSAXValue@E@@YAJPAEPB_WH@Z
0x100272b0,synthetic,?AtlSoapHashStr@@YAKPB_WH@Z
0x100286c0,library,?AtlSoapGetArraySize@@YAJPAUISAXAttributes@@PAIPAPB_W2@Z
0x1002aaf0,synthetic,_InlineIsEqualGUID
0x100307f0,library,?A2WBSTR@@YAPA_WPBDH@Z
0x100314e0,synthetic,??1IndexBox@RBX@@UAE@XZ
0x10031c40,library,?raise@?$Notifier@VStandardOut@RBX@@UStandardOutMessage@2@@RBX@@IBEXUStandardOutMessage@2@@Z
